ix,Departamento,casosAccumAnho,nuevosCasos,Semana,Anho
0,LIMA,0,0,1,2015
1,LIMA,0,0,2,2015
2,LIMA,0,0,3,2015
3,LIMA,0,0,4,2015
4,LIMA,0,0,5,2015
5,LIMA,0,0,6,2015
6,LIMA,0,0,7,2015
7,LIMA,0,0,8,2015
8,LIMA,0,0,9,2015
9,LIMA,0,0,10,2015
10,LIMA,0,0,11,2015
11,LIMA,2,2,12,2015
12,LIMA,2,0,13,2015
13,LIMA,2,0,14,2015
14,LIMA,2,0,15,2015
15,LIMA,2,0,16,2015
16,LIMA,2,0,17,2015
17,LIMA,2,0,18,2015
18,LIMA,2,0,19,2015
19,LIMA,2,0,20,2015
20,LIMA,3,1,21,2015
21,LIMA,3,0,22,2015
22,LIMA,3,0,23,2015
23,LIMA,4,1,24,2015
24,LIMA,5,1,25,2015
25,LIMA,5,0,26,2015
26,LIMA,5,0,27,2015
27,LIMA,5,0,28,2015
28,LIMA,5,0,29,2015
29,LIMA,8,3,30,2015
30,LIMA,8,0,31,2015
31,LIMA,8,0,32,2015
32,LIMA,8,0,33,2015
33,LIMA,9,1,34,2015
34,LIMA,9,0,35,2015
35,LIMA,9,0,36,2015
36,LIMA,9,0,37,2015
37,LIMA,9,0,38,2015
38,LIMA,9,0,39,2015
39,LIMA,9,0,40,2015
40,LIMA,9,0,41,2015
41,LIMA,9,0,42,2015
42,LIMA,9,0,43,2015
43,LIMA,9,0,44,2015
44,LIMA,9,0,45,2015
45,LIMA,9,0,46,2015
46,LIMA,9,0,47,2015
47,LIMA,9,0,48,2015
48,LIMA,9,0,49,2015
49,LIMA,9,0,50,2015
50,LIMA,9,0,51,2015
51,LIMA,9,0,52,2015
52,LIMA,9,0,53,2015
53,LIMA,0,0,1,2016
54,LIMA,0,0,2,2016
55,LIMA,0,0,3,2016
56,LIMA,1,1,4,2016
57,LIMA,1,0,5,2016
58,LIMA,2,1,6,2016
59,LIMA,3,1,7,2016
60,LIMA,4,1,8,2016
61,LIMA,5,1,9,2016
62,LIMA,6,1,10,2016
63,LIMA,10,4,11,2016
64,LIMA,11,1,12,2016
65,LIMA,21,10,13,2016
66,LIMA,31,10,14,2016
67,LIMA,35,4,15,2016
68,LIMA,42,7,16,2016
69,LIMA,46,4,17,2016
70,LIMA,53,7,18,2016
71,LIMA,56,3,19,2016
72,LIMA,58,2,20,2016
73,LIMA,58,0,21,2016
74,LIMA,58,0,22,2016
75,LIMA,58,0,23,2016
76,LIMA,58,0,24,2016
77,LIMA,58,0,25,2016
78,LIMA,58,0,26,2016
79,LIMA,58,0,27,2016
80,LIMA,58,0,28,2016
81,LIMA,58,0,29,2016
82,LIMA,58,0,30,2016
83,LIMA,58,0,31,2016
84,LIMA,58,0,32,2016
85,LIMA,58,0,33,2016
86,LIMA,58,0,34,2016
87,LIMA,58,0,35,2016
88,LIMA,58,0,36,2016
89,LIMA,58,0,37,2016
90,LIMA,58,0,38,2016
91,LIMA,58,0,39,2016
92,LIMA,58,0,40,2016
93,LIMA,58,0,41,2016
94,LIMA,58,0,42,2016
95,LIMA,58,0,43,2016
96,LIMA,58,0,44,2016
97,LIMA,58,0,45,2016
98,LIMA,58,0,46,2016
99,LIMA,58,0,47,2016
100,LIMA,58,0,48,2016
101,LIMA,58,0,49,2016
102,LIMA,58,0,50,2016
103,LIMA,58,0,51,2016
104,LIMA,58,0,52,2016
105,LIMA,58,0,53,2016
106,LIMA,0,0,1,2017
107,LIMA,0,0,2,2017
108,LIMA,0,0,3,2017
109,LIMA,0,0,4,2017
110,LIMA,0,0,5,2017
111,LIMA,0,0,6,2017
112,LIMA,0,0,7,2017
113,LIMA,1,1,8,2017
114,LIMA,4,3,9,2017
115,LIMA,4,0,10,2017
116,LIMA,5,1,11,2017
117,LIMA,21,16,12,2017
118,LIMA,48,27,13,2017
119,LIMA,94,46,14,2017
120,LIMA,142,48,15,2017
121,LIMA,205,63,16,2017
122,LIMA,234,29,17,2017
123,LIMA,254,20,18,2017
124,LIMA,281,27,19,2017
125,LIMA,309,28,20,2017
126,LIMA,328,19,21,2017
127,LIMA,337,9,22,2017
128,LIMA,349,12,23,2017
129,LIMA,351,2,24,2017
130,LIMA,352,1,25,2017
131,LIMA,353,1,26,2017
132,LIMA,353,0,27,2017
133,LIMA,353,0,28,2017
134,LIMA,353,0,29,2017
135,LIMA,354,1,30,2017
136,LIMA,354,0,31,2017
137,LIMA,354,0,32,2017
138,LIMA,354,0,33,2017
139,LIMA,354,0,34,2017
140,LIMA,354,0,35,2017
141,LIMA,354,0,36,2017
142,LIMA,354,0,37,2017
143,LIMA,354,0,38,2017
144,LIMA,354,0,39,2017
145,LIMA,354,0,40,2017
146,LIMA,354,0,41,2017
147,LIMA,354,0,42,2017
148,LIMA,354,0,43,2017
149,LIMA,355,1,44,2017
150,LIMA,356,1,45,2017
151,LIMA,358,2,46,2017
152,LIMA,358,0,47,2017
153,LIMA,359,1,48,2017
154,LIMA,359,0,49,2017
155,LIMA,360,1,50,2017
156,LIMA,361,1,51,2017
157,LIMA,362,1,52,2017
158,LIMA,362,0,53,2017
159,LIMA,0,0,1,2018
160,LIMA,0,0,2,2018
161,LIMA,1,1,3,2018
162,LIMA,1,0,4,2018
163,LIMA,1,0,5,2018
164,LIMA,1,0,6,2018
165,LIMA,1,0,7,2018
166,LIMA,1,0,8,2018
167,LIMA,1,0,9,2018
168,LIMA,1,0,10,2018
169,LIMA,1,0,11,2018
170,LIMA,1,0,12,2018
171,LIMA,1,0,13,2018
172,LIMA,1,0,14,2018
173,LIMA,1,0,15,2018
174,LIMA,1,0,16,2018
175,LIMA,1,0,17,2018
176,LIMA,4,3,18,2018
177,LIMA,9,5,19,2018
178,LIMA,10,1,20,2018
179,LIMA,10,0,21,2018
180,LIMA,10,0,22,2018
181,LIMA,10,0,23,2018
182,LIMA,10,0,24,2018
183,LIMA,10,0,25,2018
184,LIMA,10,0,26,2018
185,LIMA,10,0,27,2018
186,LIMA,10,0,28,2018
187,LIMA,10,0,29,2018
188,LIMA,10,0,30,2018
189,LIMA,10,0,31,2018
190,LIMA,10,0,32,2018
191,LIMA,10,0,33,2018
192,LIMA,10,0,34,2018
193,LIMA,10,0,35,2018
194,LIMA,10,0,36,2018
195,LIMA,10,0,37,2018
196,LIMA,10,0,38,2018
197,LIMA,10,0,39,2018
198,LIMA,10,0,40,2018
199,LIMA,10,0,41,2018
200,LIMA,10,0,42,2018
201,LIMA,10,0,43,2018
202,LIMA,10,0,44,2018
203,LIMA,10,0,45,2018
204,LIMA,10,0,46,2018
205,LIMA,10,0,47,2018
206,LIMA,11,1,48,2018
207,LIMA,11,0,49,2018
208,LIMA,11,0,50,2018
209,LIMA,11,0,51,2018
210,LIMA,11,0,52,2018
211,LIMA,11,0,53,2018
212,LIMA,0,0,1,2019
213,LIMA,0,0,2,2019
214,LIMA,0,0,3,2019
215,LIMA,1,1,4,2019
216,LIMA,2,1,5,2019
217,LIMA,3,1,6,2019
218,LIMA,11,8,7,2019
219,LIMA,17,6,8,2019
220,LIMA,25,8,9,2019
221,LIMA,37,12,10,2019
222,LIMA,38,1,11,2019
223,LIMA,42,4,12,2019
224,LIMA,42,0,13,2019
225,LIMA,42,0,14,2019
226,LIMA,42,0,15,2019
227,LIMA,42,0,16,2019
228,LIMA,44,2,17,2019
229,LIMA,45,1,18,2019
230,LIMA,45,0,19,2019
231,LIMA,45,0,20,2019
232,LIMA,45,0,21,2019
233,LIMA,45,0,22,2019
234,LIMA,45,0,23,2019
235,LIMA,45,0,24,2019
236,LIMA,45,0,25,2019
237,LIMA,45,0,26,2019
238,LIMA,45,0,27,2019
239,LIMA,45,0,28,2019
240,LIMA,45,0,29,2019
241,LIMA,45,0,30,2019
242,LIMA,45,0,31,2019
243,LIMA,45,0,32,2019
244,LIMA,45,0,33,2019
245,LIMA,45,0,34,2019
246,LIMA,45,0,35,2019
247,LIMA,45,0,36,2019
248,LIMA,45,0,37,2019
249,LIMA,45,0,38,2019
250,LIMA,45,0,39,2019
251,LIMA,45,0,40,2019
252,LIMA,45,0,41,2019
253,LIMA,45,0,42,2019
254,LIMA,45,0,43,2019
255,LIMA,45,0,44,2019
256,LIMA,45,0,45,2019
257,LIMA,45,0,46,2019
258,LIMA,45,0,47,2019
259,LIMA,45,0,48,2019
260,LIMA,45,0,49,2019
261,LIMA,45,0,50,2019
262,LIMA,45,0,51,2019
263,LIMA,46,1,52,2019
264,LIMA,46,0,53,2019
265,LIMA,0,0,1,2020
266,LIMA,0,0,2,2020
267,LIMA,0,0,3,2020
268,LIMA,0,0,4,2020
269,LIMA,2,2,5,2020
270,LIMA,3,1,6,2020
271,LIMA,4,1,7,2020
272,LIMA,10,6,8,2020
273,LIMA,13,3,9,2020
274,LIMA,15,2,10,2020
275,LIMA,21,6,11,2020
276,LIMA,28,7,12,2020
277,LIMA,48,20,13,2020
278,LIMA,58,10,14,2020
279,LIMA,85,27,15,2020
280,LIMA,127,42,16,2020
281,LIMA,174,47,17,2020
282,LIMA,229,55,18,2020
283,LIMA,261,32,19,2020
284,LIMA,298,37,20,2020
285,LIMA,319,21,21,2020
286,LIMA,326,7,22,2020
287,LIMA,333,7,23,2020
288,LIMA,342,9,24,2020
289,LIMA,345,3,25,2020
290,LIMA,345,0,26,2020
291,LIMA,345,0,27,2020
292,LIMA,346,1,28,2020
293,LIMA,347,1,29,2020
294,LIMA,347,0,30,2020
295,LIMA,347,0,31,2020
296,LIMA,348,1,32,2020
297,LIMA,348,0,33,2020
298,LIMA,350,2,34,2020
299,LIMA,350,0,35,2020
300,LIMA,350,0,36,2020
301,LIMA,350,0,37,2020
302,LIMA,350,0,38,2020
303,LIMA,351,1,39,2020
304,LIMA,351,0,40,2020
305,LIMA,352,1,41,2020
306,LIMA,352,0,42,2020
307,LIMA,353,1,43,2020
308,LIMA,353,0,44,2020
309,LIMA,355,2,45,2020
310,LIMA,357,2,46,2020
311,LIMA,360,3,47,2020
312,LIMA,360,0,48,2020
313,LIMA,361,1,49,2020
314,LIMA,362,1,50,2020
315,LIMA,363,1,51,2020
316,LIMA,364,1,52,2020
317,LIMA,367,3,53,2020
